Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254731		0.563069		0.567135		0.558986		0.5		0.5		0.5
254733		0.537765		0.540119		0.535406		0.5		0.5		0.5
254734		0.60271		0.608959		0.596399		0.5		0.5		0.5
254735		0.765047		0.763321		0.766747		0.272638		0.247131		0.300311
254736		0.521026		0.522288		0.519763		0.5		0.5		0.5
254738		0.532681		0.534851		0.530508		0.5		0.5		0.5
254739		0.58657		0.59205		0.581053		0.5		0.5		0.5
254740		0.535717		0.537914		0.533514		0.5		0.5		0.5
254742		0.52912		0.530956		0.527281		0.5		0.5		0.5
254743		0.64862		0.657022		0.640099		0.5		0.5		0.5
254744		0.531334		0.533416		0.529254		0.5		0.5		0.5
254747		0.548929		0.55198		0.54587		0.5		0.5		0.5
254748		0.539693		0.54211		0.537271		0.5		0.5		0.5
254752		0.550611		0.553792		0.54742		0.5		0.5		0.5
254754		0.770905		0.770027		0.771795		0.286164		0.263129		0.310766
254755		0.517193		0.518194		0.51619		0.5		0.5		0.5
254756		0.58886		0.594655		0.583026		0.5		0.5		0.5
254758		0.564624		0.568631		0.560601		0.5		0.5		0.5
254759		0.547004		0.550254		0.543744		0.5		0.5		0.5
254760		0.553466		0.556701		0.550219		0.5		0.5		0.5
254761		0.772212		0.771238		0.773193		0.248128		0.223208		0.275161
254762		0.52318		0.52468		0.521669		0.5		0.5		0.5
254763		0.575548		0.579993		0.571082		0.5		0.5		0.5
254765		0.529484		0.531484		0.527481		0.5		0.5		0.5
254766		0.589404		0.595005		0.583766		0.5		0.5		0.5
254767		0.512628		0.513539		0.511716		0.5		0.5		0.5
254768		0.530412		0.532287		0.528534		0.5		0.5		0.5
254769		0.541026		0.543752		0.538291		0.5		0.5		0.5
254771		0.556977		0.560752		0.553187		0.5		0.5		0.5
254772		0.518491		0.51957		0.517411		0.5		0.5		0.5
254773		0.559677		0.563272		0.556069		0.5		0.5		0.5
254774		0.521651		0.522905		0.520396		0.5		0.5		0.5
254775		0.564619		0.569074		0.560144		0.5		0.5		0.5
254776		0.57018		0.574351		0.565985		0.5		0.5		0.5
254778		0.584521		0.589623		0.57939		0.5		0.5		0.5
254779		0.542845		0.545369		0.540316		0.5		0.5		0.5
254780		0.567826		0.572116		0.563515		0.5		0.5		0.5
254781		0.555875		0.559746		0.551987		0.5		0.5		0.5
254782		0.661965		0.671808		0.651942		0.5		0.5		0.5
254783		0.55188		0.555302		0.548449		0.5		0.5		0.5
254784		0.541117		0.543656		0.538573		0.5		0.5		0.5
254785		0.56537		0.569491		0.561232		0.5		0.5		0.5
254786		0.584303		0.589381		0.579195		0.5		0.5		0.5
254787		0.561018		0.564733		0.557285		0.5		0.5		0.5
254788		0.587088		0.592742		0.581393		0.5		0.5		0.5
254789		0.505481		0.505833		0.50513		0.5		0.5		0.5
254790		0.539972		0.542454		0.537482		0.5		0.5		0.5
254791		0.542174		0.544929		0.539413		0.5		0.5		0.5
254792		0.540835		0.543411		0.538253		0.5		0.5		0.5
254793		0.58983		0.595053		0.584573		0.5		0.5		0.5
254794		0.545587		0.548588		0.542579		0.5		0.5		0.5
254796		0.607994		0.614918		0.600977		0.5		0.5		0.5
254797		0.583602		0.589642		0.577521		0.5		0.5		0.5
254798		0.576815		0.581952		0.571644		0.5		0.5		0.5
254800		0.56163		0.565631		0.557617		0.5		0.5		0.5
254803		0.613181		0.620226		0.606067		0.5		0.5		0.5
254804		0.565385		0.569573		0.561177		0.5		0.5		0.5
254805		0.568242		0.573008		0.56345		0.5		0.5		0.5
254806		0.545931		0.548753		0.543101		0.5		0.5		0.5
254808		0.552898		0.556012		0.549774		0.5		0.5		0.5
254809		0.522031		0.52332		0.52074		0.5		0.5		0.5
254810		0.570205		0.574443		0.565946		0.5		0.5		0.5
254811		0.558575		0.562447		0.554687		0.5		0.5		0.5
254820		0.779525		0.77889		0.780164		0.394302		0.371978		0.417351
254877		0.723321		0.735544		0.710614		0.5		0.5		0.5
254910		0.7721		0.771073		0.773144		0.427989		0.406425		0.45032
254942		0.737423		0.735426		0.739326		0.237228		0.214343		0.262636
254943		0.779451		0.778767		0.780145		0.444555		0.423857		0.465812
254944		0.76466		0.763061		0.766303		0.216382		0.192652		0.242656
254947		0.51801		0.519496		0.516527		0.5		0.5		0.5
254980		0.645824		0.652744		0.63871		0.5		0.5		0.5
254981		0.503121		0.503421		0.50283		0.5		0.5		0.5
254982		0.510085		0.510808		0.509361		0.5		0.5		0.5
254983		0.533883		0.536054		0.531709		0.5		0.5		0.5
254984		0.521774		0.52321		0.520323		0.5		0.5		0.5
254995		0.519315		0.5206		0.518032		0.5		0.5		0.5
254996		0.534723		0.537127		0.532317		0.5		0.5		0.5
254997		0.544009		0.547015		0.540996		0.5		0.5		0.5
254998		0.529316		0.531275		0.527355		0.5		0.5		0.5
255000		0.528967		0.530855		0.527081		0.5		0.5		0.5
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254813		0.559796		0.563831		0.555745		0.5		0.5		0.5
254814		0.553802		0.557224		0.55037		0.5		0.5		0.5
254815		0.531115		0.533051		0.529176		0.5		0.5		0.5
254817		0.559238		0.562982		0.55548		0.5		0.5		0.5
254818		0.581145		0.58671		0.575546		0.5		0.5		0.5
254819		0.565053		0.569023		0.561082		0.5		0.5		0.5
254821		0.528922		0.530628		0.527213		0.5		0.5		0.5
254822		0.592646		0.598361		0.586887		0.5		0.5		0.5
254823		0.580076		0.585226		0.574896		0.5		0.5		0.5
254824		0.559102		0.562925		0.555265		0.5		0.5		0.5
254825		0.568246		0.572703		0.563765		0.5		0.5		0.5
254827		0.593222		0.598794		0.587611		0.5		0.5		0.5
254828		0.527071		0.528797		0.525453		0.5		0.5		0.5
254829		0.594448		0.600223		0.588629		0.5		0.5		0.5
254830		0.547474		0.550712		0.544227		0.5		0.5		0.5
254831		0.513809		0.514662		0.512956		0.5		0.5		0.5
254832		0.511636		0.512314		0.510959		0.5		0.5		0.5
254833		0.555592		0.55918		0.551991		0.5		0.5		0.5
254834		0.583669		0.58877		0.578539		0.5		0.5		0.5
254835		0.591799		0.597772		0.585774		0.5		0.5		0.5
254836		0.572595		0.576721		0.568449		0.5		0.5		0.5
254837		0.585973		0.59132		0.580593		0.5		0.5		0.5
254838		0.597273		0.60305		0.591454		0.5		0.5		0.5
254839		0.533215		0.535245		0.531182		0.5		0.5		0.5
254840		0.551854		0.555038		0.548661		0.5		0.5		0.5
254841		0.545221		0.547889		0.542547		0.5		0.5		0.5
254842		0.552898		0.556248		0.549537		0.5		0.5		0.5
254843		0.541147		0.543771		0.538516		0.5		0.5		0.5
254844		0.55162		0.554673		0.548558		0.5		0.5		0.5
254845		0.565676		0.569612		0.561723		0.5		0.5		0.5
254846		0.566701		0.570949		0.562436		0.5		0.5		0.5
254847		0.549123		0.552412		0.545824		0.5		0.5		0.5
254848		0.560546		0.56443		0.556648		0.5		0.5		0.5
254849		0.554226		0.557842		0.550596		0.5		0.5		0.5
254850		0.517621		0.518733		0.516508		0.5		0.5		0.5
254851		0.560965		0.564726		0.557188		0.5		0.5		0.5
254855		0.547368		0.550142		0.544583		0.5		0.5		0.5
254856		0.562438		0.566349		0.558511		0.5		0.5		0.5
254857		0.529581		0.531606		0.527553		0.5		0.5		0.5
254858		0.560521		0.564489		0.556538		0.5		0.5		0.5
254859		0.568873		0.573232		0.56449		0.5		0.5		0.5
254860		0.579985		0.585032		0.574911		0.5		0.5		0.5
254861		0.557414		0.561104		0.55371		0.5		0.5		0.5
254862		0.561097		0.564975		0.557204		0.5		0.5		0.5
254863		0.53773		0.540008		0.535447		0.5		0.5		0.5
254864		0.582598		0.587744		0.577419		0.5		0.5		0.5
254865		0.558054		0.561627		0.554468		0.5		0.5		0.5
254866		0.658276		0.666889		0.649494		0.5		0.5		0.5
254867		0.575595		0.580348		0.570818		0.5		0.5		0.5
254869		0.544345		0.547331		0.541351		0.5		0.5		0.5
254870		0.542085		0.544878		0.539285		0.5		0.5		0.5
254871		0.605816		0.61243		0.599144		0.5		0.5		0.5
254872		0.570392		0.574815		0.565948		0.5		0.5		0.5
254874		0.543331		0.546213		0.540442		0.5		0.5		0.5
254875		0.581751		0.58703		0.576437		0.5		0.5		0.5
254876		0.541259		0.543866		0.538647		0.5		0.5		0.5
254879		0.567752		0.571911		0.563581		0.5		0.5		0.5
254881		0.5673		0.571548		0.563034		0.5		0.5		0.5
254882		0.555766		0.559038		0.552477		0.5		0.5		0.5
254883		0.526637		0.528412		0.524859		0.5		0.5		0.5
254884		0.590013		0.595396		0.584589		0.5		0.5		0.5
254885		0.567041		0.571118		0.562949		0.5		0.5		0.5
254886		0.555819		0.559525		0.552101		0.5		0.5		0.5
254888		0.548303		0.551218		0.545378		0.5		0.5		0.5
254889		0.587626		0.592896		0.582321		0.5		0.5		0.5
254890		0.586351		0.591737		0.580927		0.5		0.5		0.5
254891		0.55571		0.559055		0.552354		0.5		0.5		0.5
254892		0.537393		0.539768		0.53501		0.5		0.5		0.5
254893		0.571134		0.575509		0.566727		0.5		0.5		0.5
254894		0.537031		0.539179		0.534878		0.5		0.5		0.5
254895		0.552686		0.556189		0.549173		0.5		0.5		0.5
254897		0.518542		0.519783		0.517299		0.5		0.5		0.5
254898		0.61879		0.625837		0.611673		0.5		0.5		0.5
254899		0.555533		0.559011		0.552043		0.5		0.5		0.5
254900		0.558926		0.562768		0.555069		0.5		0.5		0.5
254901		0.560469		0.564431		0.556492		0.5		0.5		0.5
254902		0.561453		0.565465		0.557425		0.5		0.5		0.5
254903		0.551492		0.554665		0.548309		0.5		0.5		0.5
254905		0.585191		0.590347		0.579998		0.5		0.5		0.5
254906		0.537797		0.540174		0.535413		0.5		0.5		0.5
254907		0.538679		0.541083		0.53627		0.5		0.5		0.5
254908		0.563962		0.568097		0.559803		0.5		0.5		0.5
254909		0.557188		0.560741		0.553621		0.5		0.5		0.5
254911		0.555268		0.558715		0.551809		0.5		0.5		0.5
254912		0.574478		0.579127		0.569807		0.5		0.5		0.5
254913		0.534254		0.53639		0.532113		0.5		0.5		0.5
254914		0.581197		0.586441		0.575922		0.5		0.5		0.5
254915		0.540315		0.542742		0.537882		0.5		0.5		0.5
254916		0.580949		0.585927		0.575943		0.5		0.5		0.5
254917		0.591404		0.596979		0.585794		0.5		0.5		0.5
254918		0.525226		0.526873		0.523577		0.5		0.5		0.5
254919		0.568943		0.573397		0.564469		0.5		0.5		0.5
254920		0.581097		0.586301		0.575864		0.5		0.5		0.5
254921		0.584049		0.589185		0.57888		0.5		0.5		0.5
254923		0.546959		0.550125		0.543781		0.5		0.5		0.5
254925		0.561212		0.56486		0.557548		0.5		0.5		0.5
254926		0.531019		0.532985		0.529049		0.5		0.5		0.5
254927		0.519927		0.521109		0.518741		0.5		0.5		0.5
254928		0.557066		0.560777		0.553341		0.5		0.5		0.5
254930		0.500552		0.500586		0.500518		0.5		0.5		0.5
254931		0.529296		0.531087		0.527501		0.5		0.5		0.5
254932		0.622419		0.630437		0.614236		0.5		0.5		0.5
254933		0.559041		0.562584		0.555486		0.5		0.5		0.5
254934		0.54474		0.547441		0.542032		0.5		0.5		0.5
254935		0.538368		0.540695		0.536036		0.5		0.5		0.5
254936		0.565659		0.569769		0.561546		0.5		0.5		0.5
254937		0.542483		0.545144		0.539816		0.5		0.5		0.5
254938		0.548123		0.551111		0.545127		0.5		0.5		0.5
254939		0.639383		0.646866		0.631805		0.5		0.5		0.5
254940		0.533256		0.535194		0.531314		0.5		0.5		0.5
254941		0.586765		0.592052		0.581444		0.5		0.5		0.5
254950		0.545175		0.548123		0.542219		0.5		0.5		0.5
254951		0.571952		0.576228		0.567655		0.5		0.5		0.5
254952		0.547571		0.550751		0.544383		0.5		0.5		0.5
254954		0.541022		0.543631		0.538407		0.5		0.5		0.5
254955		0.548213		0.551321		0.545096		0.5		0.5		0.5
254956		0.508689		0.509223		0.508155		0.5		0.5		0.5
254957		0.538202		0.540796		0.535599		0.5		0.5		0.5
254959		0.552777		0.556301		0.549241		0.5		0.5		0.5
254960		0.560985		0.564669		0.557286		0.5		0.5		0.5
254961		0.597932		0.603648		0.592175		0.5		0.5		0.5
254962		0.569702		0.573984		0.565401		0.5		0.5		0.5
254963		0.556431		0.560014		0.552835		0.5		0.5		0.5
254964		0.545339		0.548348		0.542321		0.5		0.5		0.5
254965		0.527935		0.529772		0.526096		0.5		0.5		0.5
254966		0.554648		0.558757		0.550524		0.5		0.5		0.5
254968		0.531691		0.533708		0.529671		0.5		0.5		0.5
254969		0.546295		0.549365		0.543218		0.5		0.5		0.5
254970		0.541801		0.544346		0.539219		0.5		0.5		0.5
254971		0.557725		0.561442		0.553995		0.5		0.5		0.5
254972		0.544135		0.547155		0.541107		0.5		0.5		0.5
254973		0.538551		0.541017		0.53608		0.5		0.5		0.5
254974		0.574831		0.579669		0.569964		0.5		0.5		0.5
254976		0.536684		0.539097		0.534267		0.5		0.5		0.5
254977		0.525639		0.527311		0.523971		0.5		0.5		0.5
254978		0.56844		0.572744		0.564119		0.5		0.5		0.5
254985		0.569211		0.573581		0.564826		0.5		0.5		0.5
254987		0.546411		0.549131		0.543683		0.5		0.5		0.5
254988		0.575923		0.580609		0.571217		0.5		0.5		0.5
254989		0.534205		0.53645		0.531957		0.5		0.5		0.5
254990		0.511212		0.511951		0.510471		0.5		0.5		0.5
254993		0.522649		0.524097		0.521199		0.5		0.5		0.5
254994		0.523703		0.525306		0.522098		0.5		0.5		0.5
255001		0.555922		0.55937		0.552463		0.5		0.5		0.5
255002		0.575833		0.580758		0.570867		0.5		0.5		0.5
255003		0.553898		0.557197		0.550589		0.5		0.5		0.5
255004		0.568175		0.572272		0.564063		0.5		0.5		0.5
255005		0.566157		0.570006		0.562289		0.5		0.5		0.5
255006		0.564414		0.568284		0.560528		0.5		0.5		0.5
255007		0.560701		0.564208		0.557182		0.5		0.5		0.5
255008		0.556904		0.560529		0.553268		0.5		0.5		0.5
255009		0.538251		0.540425		0.536071		0.5		0.5		0.5
255010		0.539295		0.54161		0.536975		0.5		0.5		0.5
255012		0.554342		0.557833		0.550841		0.5		0.5		0.5
255013		0.505343		0.505687		0.504999		0.5		0.5		0.5
255014		0.56823		0.572374		0.564067		0.5		0.5		0.5
255015		0.570681		0.575099		0.566235		0.5		0.5		0.5
255016		0.510866		0.511688		0.510043		0.5		0.5		0.5
255017		0.601657		0.607895		0.595369		0.5		0.5		0.5
255018		0.570056		0.574344		0.565751		0.5		0.5		0.5
255019		0.559231		0.56297		0.555479		0.5		0.5		0.5
255020		0.553609		0.557126		0.550077		0.5		0.5		0.5
255021		0.59241		0.597843		0.586933		0.5		0.5		0.5
255022		0.533667		0.535797		0.531533		0.5		0.5		0.5
255023		0.55194		0.555536		0.548333		0.5		0.5		0.5
255024		0.584729		0.59021		0.579213		0.5		0.5		0.5
255025		0.61124		0.617869		0.604549		0.5		0.5		0.5
255026		0.580964		0.585914		0.575986		0.5		0.5		0.5
255027		0.527372		0.529291		0.525449		0.5		0.5		0.5
255028		0.545368		0.548352		0.542377		0.5		0.5		0.5
255029		0.558892		0.562724		0.555046		0.5		0.5		0.5
255031		0.562016		0.565786		0.558234		0.5		0.5		0.5
255032		0.54729		0.550286		0.544286		0.5		0.5		0.5
255033		0.602813		0.608813		0.596769		0.5		0.5		0.5
255034		0.579288		0.584484		0.574059		0.5		0.5		0.5
255035		0.536124		0.538378		0.533862		0.5		0.5		0.5
255037		0.543874		0.54655		0.541192		0.5		0.5		0.5
255038		0.565331		0.569718		0.560923		0.5		0.5		0.5
255039		0.611274		0.618345		0.604102		0.5		0.5		0.5
255040		0.581905		0.586856		0.576924		0.5		0.5		0.5
255041		0.547243		0.550186		0.544291		0.5		0.5		0.5
255042		0.552478		0.556006		0.548938		0.5		0.5		0.5
255043		0.529588		0.53132		0.527851		0.5		0.5		0.5
255044		0.612616		0.61964		0.605525		0.5		0.5		0.5
255045		0.567518		0.571773		0.563248		0.5		0.5		0.5
255046		0.522712		0.52418		0.521268		0.5		0.5		0.5
255047		0.552699		0.555954		0.549431		0.5		0.5		0.5
255048		0.554839		0.558368		0.551299		0.5		0.5		0.5
255050		0.522779		0.524387		0.521171		0.5		0.5		0.5
255051		0.551401		0.554988		0.547801		0.5		0.5		0.5
255052		0.558783		0.562389		0.555165		0.5		0.5		0.5
255053		0.558036		0.561678		0.554381		0.5		0.5		0.5
255054		0.549438		0.552263		0.546605		0.5		0.5		0.5
255055		0.577201		0.581894		0.572483		0.5		0.5		0.5
255056		0.66051		0.669009		0.651876		0.5		0.5		0.5
255057		0.543223		0.545934		0.540504		0.5		0.5		0.5
255058		0.5603		0.564235		0.55635		0.5		0.5		0.5
255060		0.559542		0.563078		0.555995		0.5		0.5		0.5
255061		0.582784		0.587851		0.577688		0.5		0.5		0.5
255062		0.593269		0.599163		0.587329		0.5		0.5		0.5
255063		0.573343		0.57814		0.568518		0.5		0.5		0.5
255065		0.537878		0.540212		0.53554		0.5		0.5		0.5
255066		0.608083		0.614964		0.601134		0.5		0.5		0.5
255067		0.529864		0.53194		0.527786		0.5		0.5		0.5
255068		0.561166		0.565202		0.557114		0.5		0.5		0.5
255069		0.53157		0.533521		0.529616		0.5		0.5		0.5
255071		0.572009		0.576565		0.567427		0.5		0.5		0.5
255072		0.558148		0.561735		0.554549		0.5		0.5		0.5
255073		0.626842		0.634771		0.618817		0.5		0.5		0.5
255074		0.568598		0.572905		0.564275		0.5		0.5		0.5
255075		0.546439		0.549521		0.543348		0.5		0.5		0.5
255076		0.528213		0.530159		0.526265		0.5		0.5		0.5
255077		0.591598		0.597424		0.585728		0.5		0.5		0.5
255078		0.572588		0.577002		0.568152		0.5		0.5		0.5
255079		0.563589		0.567689		0.559471		0.5		0.5		0.5
255081		0.58653		0.592232		0.580797		0.5		0.5		0.5
255082		0.547589		0.55049		0.544681		0.5		0.5		0.5
255083		0.591744		0.597779		0.585665		0.5		0.5		0.5
255084		0.560918		0.564859		0.55696		0.5		0.5		0.5
255085		0.514347		0.515238		0.513457		0.5		0.5		0.5
255086		0.548773		0.551987		0.545545		0.5		0.5		0.5
255087		0.545934		0.54879		0.543067		0.5		0.5		0.5
255088		0.532982		0.535294		0.530666		0.5		0.5		0.5
255089		0.566003		0.570268		0.561719		0.5		0.5		0.5
255090		0.555404		0.558874		0.551923		0.5		0.5		0.5
255091		0.579769		0.58478		0.574731		0.5		0.5		0.5
255092		0.547044		0.549685		0.544398		0.5		0.5		0.5
255094		0.538363		0.541117		0.535599		0.5		0.5		0.5
255095		0.543427		0.546239		0.540608		0.5		0.5		0.5
255097		0.565315		0.569431		0.561183		0.5		0.5		0.5
255098		0.572544		0.576934		0.568131		0.5		0.5		0.5
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254616		0.752323		0.751129		0.753484		0.29957		0.273432		0.327945
254624		0.676858		0.688131		0.665187		0.5		0.5		0.5
254640		0.743133		0.740208		0.739434		0.490686		0.473892		0.5
254664		0.749636		0.744447		0.754535		0.253982		0.231826		0.27811
254668		0.760395		0.758331		0.762501		0.289895		0.264827		0.317073
254689		0.529663		0.531479		0.527843		0.5		0.5		0.5
254692		0.567314		0.571562		0.563048		0.5		0.5		0.5
254713		0.570937		0.575979		0.565867		0.5		0.5		0.5
254728		0.539024		0.54151		0.536532		0.5		0.5		0.5
254730		0.561374		0.565341		0.557391		0.5		0.5		0.5
254732		0.544973		0.547729		0.542209		0.5		0.5		0.5
254737		0.563514		0.567551		0.559461		0.5		0.5		0.5
254741		0.559607		0.563309		0.555891		0.5		0.5		0.5
254745		0.561896		0.565783		0.557995		0.5		0.5		0.5
254746		0.581039		0.585864		0.576186		0.5		0.5		0.5
254749		0.544872		0.547297		0.542411		0.5		0.5		0.5
254750		0.573779		0.578392		0.569143		0.5		0.5		0.5
254751		0.591346		0.596703		0.585952		0.5		0.5		0.5
254770		0.511104		0.511772		0.510436		0.5		0.5		0.5
254777		0.599727		0.605976		0.593428		0.5		0.5		0.5
254795		0.546093		0.548933		0.543247		0.5		0.5		0.5
254799		0.641007		0.649443		0.632376		0.5		0.5		0.5
254801		0.769903		0.768577		0.771247		0.189207		0.165208		0.216058
254807		0.767699		0.766115		0.769303		0.444915		0.424973		0.465561
254812		0.568687		0.572968		0.564381		0.5		0.5		0.5
254816		0.552118		0.555127		0.549101		0.5		0.5		0.5
254826		0.541725		0.544337		0.539109		0.5		0.5		0.5
254852		0.529154		0.531104		0.527201		0.5		0.5		0.5
254853		0.529758		0.531402		0.528117		0.5		0.5		0.5
254854		0.586537		0.591887		0.581149		0.5		0.5		0.5
