Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
255062		0.362815		0.362821		0.362809		0.35629		0.355846		0.356733		0.986078
255075		0.362843		0.362853		0.362833		0.352953		0.352219		0.353687		0.978866
255078		0.362812		0.362817		0.362808		0.356506		0.356141		0.356871		0.986547
255082		0.36286		0.362871		0.36285		0.351216		0.3505		0.351934		0.975098
255083		0.363071		0.363092		0.36305		0.343207		0.341945		0.344472		0.957362
255084		0.362859		0.362867		0.362851		0.353178		0.352588		0.353769		0.979315
255086		0.363063		0.363087		0.36304		0.339159		0.337762		0.34056		0.948591
255087		0.362847		0.362854		0.36284		0.353879		0.353354		0.354403		0.980844
255089		0.362857		0.362867		0.362848		0.353184		0.352465		0.353904		0.979331
255095		0.362909		0.362922		0.362896		0.35035		0.349422		0.35128		0.973130
255098		0.362834		0.362841		0.362827		0.354835		0.354312		0.355358		0.982922
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254624		0.381327		0.381758		0.380864		0.18325		0.175691		0.191149		0.547806
254640		0.36862		0.368727		0.368403		0.258945		0.252705		0.265216		0.755733
254642		0.364277		0.364351		0.364205		0.312496		0.309412		0.315599		0.887286
254664		0.374758		0.375323		0.374267		0.169951		0.161624		0.178671		0.525375
254668		0.366838		0.367095		0.366641		0.262876		0.257243		0.268636		0.768557
254692		0.362991		0.363008		0.362975		0.346218		0.345147		0.347292		0.964046
254728		0.362805		0.36281		0.362801		0.357081		0.356745		0.357417		0.987791
254730		0.362939		0.362954		0.362924		0.346911		0.34594		0.347884		0.965655
254741		0.36281		0.362815		0.362805		0.356683		0.35632		0.357046		0.986931
254751		0.362902		0.362912		0.362892		0.352324		0.351713		0.352936		0.977392
254777		0.363068		0.363093		0.363044		0.343096		0.341605		0.34459		0.957126
254795		0.362859		0.362867		0.362851		0.353134		0.352531		0.353736		0.979220
