Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254767		0.333207		0.33324		0.333175		0.30594		0.304145		0.307741		0.939165
254768		0.333015		0.33303		0.332999		0.329962		0.329793		0.330131		0.993287
254769		0.333255		0.33329		0.33322		0.322384		0.321712		0.323057		0.975987
254771		0.332856		0.332865		0.332847		0.323849		0.323313		0.324386		0.980117
254772		0.333767		0.333843		0.333711		0.280905		0.277774		0.284077		0.880275
254773		0.334262		0.334352		0.334172		0.331164		0.33107		0.331258		0.993196
254774		0.333705		0.333769		0.333642		0.312554		0.311353		0.313758		0.953016
254775		0.334737		0.334832		0.334642		0.256762		0.251953		0.261633		0.820820
254776		0.332983		0.333002		0.332964		0.31566		0.3146		0.316722		0.961574
254778		0.333148		0.333181		0.333115		0.322924		0.322237		0.323612		0.977423
254780		0.332987		0.333005		0.332968		0.315834		0.314795		0.316874		0.961955
254781		0.333907		0.333992		0.333822		0.316246		0.31519		0.317306		0.960864
254782		0.339871		0.340321		0.339421		0.328321		0.328041		0.328601		0.974680
254783		0.333112		0.333133		0.333091		0.33033		0.330176		0.330484		0.993884
254786		0.333469		0.333522		0.333416		0.301529		0.299769		0.303297		0.928563
254787		0.334001		0.334067		0.333934		0.330968		0.330856		0.33108		0.993338
254788		0.333188		0.333219		0.333155		0.313618		0.312467		0.31477		0.956542
254789		0.332992		0.33301		0.332975		0.3256		0.325165		0.326035		0.983699
254790		0.332874		0.332884		0.332864		0.324379		0.323857		0.3249		0.981252
254791		0.333065		0.333094		0.333037		0.311023		0.309544		0.312507		0.950971
254792		0.333095		0.333119		0.333071		0.322198		0.321585		0.322811		0.975925
254793		0.332979		0.332997		0.33296		0.315114		0.314079		0.31615		0.960359
254794		0.334972		0.335147		0.334798		0.31855		0.317556		0.319547		0.963682
254796		0.338514		0.338889		0.338144		0.219104		0.212809		0.225566		0.719817
254797		0.335846		0.336012		0.335682		0.264669		0.26046		0.268926		0.837422
254798		0.333515		0.333581		0.333451		0.301405		0.299345		0.303475		0.928178
254802		0.335876		0.335997		0.335755		0.24281		0.237478		0.248226		0.784433
254803		0.333265		0.333308		0.333223		0.306725		0.305094		0.308363		0.940820
254804		0.332828		0.332832		0.332823		0.328249		0.327989		0.32851		0.989920
254805		0.333008		0.333032		0.332984		0.313553		0.312172		0.314937		0.956790
254806		0.333258		0.3333		0.333217		0.301735		0.299831		0.303647		0.929492
254808		0.334107		0.334194		0.33402		0.322953		0.322387		0.323521		0.975384
254809		0.337035		0.337293		0.336782		0.245662		0.240912		0.250484		0.788979
254810		0.339848		0.340309		0.339388		0.323472		0.322914		0.324034		0.964001
254811		0.332903		0.332915		0.332891		0.320602		0.319895		0.321311		0.972795
254820		0.350728		0.351414		0.35		0.0310463		0.0257012		0.0374679		0.138266
254877		0.346607		0.347147		0.346081		0.0724755		0.0641971		0.0817344		0.287736
254910		0.352752		0.353596		0.351878		0.0644975		0.0574562		0.0723863		0.254213
254942		0.362666		0.363003		0.362328		0.095623		0.0873723		0.104686		0.339294
254943		0.36248		0.363749		0.361172		0.0039618		0.00286526		0.00549362		0.021252
254944		0.356279		0.357583		0.354878		0.00986621		0.0075843		0.0128701		0.049649
254995		0.333133		0.333154		0.333113		0.314275		0.313115		0.315438		0.958138
254996		0.332883		0.332892		0.332873		0.323775		0.323211		0.324341		0.979896
255000		0.333713		0.333786		0.333641		0.33158		0.331481		0.331679		0.995314
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254813		0.333092		0.333109		0.333075		0.315859		0.314904		0.316816		0.961782
254814		0.334533		0.334662		0.334405		0.316669		0.31564		0.317702		0.960439
254815		0.333305		0.333349		0.33326		0.293655		0.29127		0.296052		0.910877
254817		0.332971		0.332988		0.332955		0.319959		0.319009		0.320911		0.971210
254818		0.333345		0.333395		0.333296		0.319561		0.318634		0.320491		0.969503
254819		0.341127		0.341653		0.340609		0.27609		0.273166		0.27906		0.853145
254821		0.333819		0.333887		0.333751		0.315698		0.314731		0.316667		0.959826
254822		0.334418		0.334516		0.334315		0.328289		0.32801		0.328563		0.986520
254823		0.341078		0.341625		0.340667		0.318002		0.317221		0.318903		0.949153
254824		0.333148		0.333179		0.333117		0.315235		0.314194		0.316279		0.960260
254825		0.332806		0.332807		0.332804		0.330176		0.330024		0.330327		0.994217
254827		0.333401		0.333448		0.333354		0.315587		0.314551		0.316625		0.960494
254828		0.337334		0.337618		0.336995		0.290709		0.287879		0.293524		0.895329
254829		0.333323		0.333368		0.333278		0.30491		0.303157		0.30667		0.936575
254830		0.332974		0.332991		0.332956		0.316463		0.315493		0.317435		0.963394
254831		0.333264		0.333295		0.333233		0.328445		0.328193		0.328698		0.989394
254832		0.337675		0.338006		0.337351		0.311052		0.309865		0.31225		0.940967
254833		0.333079		0.333103		0.333055		0.312607		0.311397		0.31382		0.954508
254834		0.334364		0.334488		0.334268		0.279884		0.27668		0.283137		0.876592
254835		0.332881		0.332893		0.332869		0.322652		0.321946		0.32336		0.977405
254836		0.333107		0.333137		0.333078		0.32271		0.322015		0.323407		0.977037
254837		0.332867		0.332878		0.332856		0.323886		0.323232		0.324541		0.980176
254838		0.333276		0.333319		0.333234		0.303181		0.301382		0.304987		0.932746
254839		0.334715		0.334866		0.334567		0.287929		0.285233		0.290646		0.894577
254841		0.333396		0.333432		0.333359		0.306915		0.304923		0.308914		0.940964
254842		0.33292		0.332932		0.332909		0.329124		0.328896		0.329353		0.991647
254843		0.332893		0.332903		0.332883		0.327013		0.326667		0.327358		0.987044
254844		0.332839		0.332845		0.332834		0.327585		0.327278		0.327893		0.988427
254845		0.334903		0.33504		0.334766		0.329896		0.329719		0.330072		0.989001
254846		0.332878		0.332888		0.332867		0.323123		0.322527		0.32372		0.978458
254848		0.333092		0.333122		0.333062		0.307518		0.305852		0.30919		0.942995
254849		0.333836		0.333924		0.333748		0.304622		0.302719		0.306535		0.934801
254850		0.333259		0.3333		0.333218		0.311993		0.310601		0.313389		0.952731
254851		0.333776		0.333852		0.333701		0.311744		0.310474		0.313018		0.951037
254855		0.332846		0.332854		0.332839		0.327111		0.326744		0.327478		0.987364
254856		0.332814		0.332816		0.332812		0.33077		0.330621		0.330919		0.995507
254857		0.333208		0.333241		0.333174		0.328475		0.328152		0.328798		0.989583
254858		0.334884		0.335018		0.33475		0.303498		0.301853		0.305151		0.929957
254859		0.333248		0.333278		0.333217		0.330101		0.32993		0.330272		0.993082
254860		0.332959		0.332975		0.332944		0.318329		0.317447		0.319213		0.967599
254861		0.333192		0.333226		0.333159		0.327796		0.327419		0.328173		0.988118
254862		0.333085		0.333114		0.333055		0.312693		0.311362		0.314028		0.954690
254864		0.332903		0.332918		0.332888		0.321613		0.320782		0.322445		0.975045
254865		0.332844		0.332851		0.332837		0.326751		0.326389		0.327114		0.986574
254866		0.334312		0.334375		0.334248		0.275656		0.272315		0.279023		0.866774
254867		0.332969		0.332986		0.332951		0.316998		0.316032		0.317966		0.964601
254869		0.332854		0.332861		0.332847		0.327914		0.327608		0.328219		0.989121
254870		0.332841		0.33285		0.332833		0.325066		0.324543		0.325589		0.982848
254871		0.334537		0.33466		0.334414		0.329979		0.329779		0.33018		0.989986
254872		0.333355		0.333398		0.333313		0.31333		0.312193		0.314469		0.955528
254873		0.337362		0.337688		0.337043		0.267847		0.263619		0.272133		0.841745
254874		0.332883		0.332894		0.332873		0.322854		0.322282		0.323426		0.977847
254875		0.333345		0.333396		0.333293		0.307387		0.305655		0.309124		0.942143
254876		0.333328		0.333369		0.333287		0.321645		0.320966		0.322326		0.974184
254879		0.333241		0.33328		0.333203		0.327992		0.327628		0.328356		0.988444
254881		0.33291		0.332922		0.332899		0.324136		0.323596		0.324677		0.980635
254882		0.333109		0.33314		0.333077		0.312368		0.310985		0.313754		0.953904
254883		0.333242		0.33328		0.333204		0.309993		0.308602		0.311389		0.948261
254884		0.339042		0.339529		0.338574		0.292024		0.289424		0.294663		0.894664
254885		0.333291		0.333333		0.33325		0.312199		0.31093		0.313472		0.953125
254886		0.333273		0.333316		0.333229		0.300707		0.298576		0.302847		0.927116
254888		0.33303		0.333052		0.333008		0.318242		0.31733		0.319155		0.967248
254890		0.333896		0.333981		0.333811		0.266454		0.26245		0.270499		0.845869
254891		0.333761		0.33384		0.333682		0.289744		0.287159		0.292345		0.900857
254892		0.334067		0.334145		0.333989		0.328399		0.328152		0.328647		0.987532
254893		0.333789		0.333878		0.333701		0.277269		0.273693		0.280876		0.871699
254894		0.333403		0.333448		0.333359		0.324759		0.324262		0.325258		0.980936
254895		0.333174		0.333204		0.333144		0.319434		0.318656		0.320213		0.969594
254896		0.335379		0.335566		0.335195		0.30203		0.300034		0.304038		0.925535
254897		0.333122		0.33315		0.333093		0.313247		0.312086		0.31441		0.955852
254898		0.333058		0.33308		0.333035		0.321065		0.320369		0.321762		0.973486
254899		0.333396		0.333439		0.333353		0.316272		0.315346		0.3172		0.962040
254900		0.332943		0.332962		0.332925		0.318029		0.316965		0.319095		0.966963
254901		0.334827		0.334946		0.334707		0.332277		0.332247		0.332307		0.994406
254902		0.333135		0.333166		0.333105		0.313011		0.311787		0.314238		0.955294
254903		0.333064		0.333083		0.333046		0.331728		0.331646		0.331809		0.997063
254905		0.333048		0.333074		0.333022		0.315646		0.314539		0.316754		0.961399
254906		0.333023		0.333044		0.333003		0.318689		0.317851		0.319528		0.968262
254907		0.332996		0.333016		0.332975		0.315581		0.31445		0.316714		0.961369
254908		0.332805		0.332806		0.332804		0.330856		0.33073		0.330981		0.995714
254911		0.333086		0.333114		0.333059		0.31122		0.309878		0.312567		0.951369
254912		0.333132		0.333161		0.333103		0.316164		0.315142		0.317189		0.962377
254913		0.333249		0.333287		0.333211		0.314537		0.313406		0.315671		0.958472
254914		0.334455		0.334558		0.334352		0.329766		0.329583		0.329949		0.989695
254915		0.332872		0.332882		0.332862		0.323129		0.322545		0.323713		0.978484
254916		0.333482		0.333527		0.333437		0.331837		0.331775		0.3319		0.996389
254917		0.333347		0.33339		0.333304		0.318895		0.318059		0.319732		0.968012
254918		0.33284		0.332845		0.332835		0.327862		0.327577		0.328146		0.989036
254919		0.333904		0.333978		0.33383		0.323202		0.322646		0.323758		0.976381
254920		0.333509		0.333568		0.333451		0.308677		0.307177		0.310182		0.944704
254921		0.332809		0.332812		0.332807		0.330295		0.330105		0.330485		0.994470
254923		0.332833		0.33284		0.332853		0.325767		0.325354		0.326208		0.984420
254925		0.333139		0.333166		0.333111		0.323862		0.323322		0.324403		0.979527
254926		0.332973		0.332992		0.332954		0.315934		0.314858		0.317011		0.962209
254927		0.334039		0.334098		0.334		0.283385		0.28045		0.286359		0.885479
254928		0.334255		0.334376		0.334134		0.278457		0.274994		0.281951		0.873481
254930		0.333591		0.33366		0.333522		0.296561		0.294217		0.298918		0.916933
254934		0.333831		0.333909		0.333754		0.303023		0.301243		0.304812		0.931175
254935		0.333149		0.333177		0.333122		0.322054		0.32141		0.322698		0.975485
254936		0.333029		0.333049		0.333009		0.32268		0.32209		0.323271		0.977142
254937		0.332801		0.332803		0.332799		0.330344		0.330159		0.33053		0.994598
254938		0.333132		0.333164		0.3331		0.304861		0.303093		0.306634		0.936881
254939		0.3346		0.334687		0.334513		0.260724		0.256491		0.265004		0.830649
254940		0.333708		0.333781		0.333635		0.288244		0.285514		0.290992		0.897497
254941		0.333188		0.333218		0.333157		0.323142		0.322548		0.323737		0.977820
254951		0.333214		0.333249		0.333179		0.319939		0.319155		0.320724		0.970633
254952		0.333115		0.333137		0.333093		0.329179		0.328971		0.329388		0.991341
254954		0.33494		0.335079		0.334801		0.322503		0.321895		0.323113		0.972560
254955		0.332839		0.332844		0.332833		0.328577		0.328331		0.328822		0.990618
254956		0.334618		0.334742		0.334495		0.322908		0.32229		0.323528		0.974164
254957		0.332963		0.33298		0.332946		0.319107		0.318219		0.319997		0.969328
254959		0.333376		0.333411		0.333342		0.300801		0.298922		0.302687		0.927104
254960		0.333367		0.333405		0.333331		0.328461		0.328209		0.328713		0.989202
254963		0.333821		0.333901		0.333741		0.297369		0.295239		0.299511		0.918285
254966		0.33602		0.336304		0.335741		0.319732		0.31878		0.320693		0.964030
254968		0.332807		0.332803		0.332807		0.331355		0.331239		0.331466		0.996809
